official_list_id,name,address,prefecture,municipality,stall_count,max_kw,tesla_location_id,official_source_url,stall_count_source_url,source_checked_at,review_status
"119","東京 - 杉並","167-0033 東京都杉並区清水 2丁目16-20","東京都","","4","250","suginamisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/suginamisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"120","東京 - 豊玉","176-0013 東京都練馬区豊玉中 3丁目2-3","東京都","","4","250","tokyotoyotamasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tokyotoyotamasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"121","東京 - 八重洲","104-0028 東京都中央区八重洲 2-2-1","東京都","","4","250","Tokyoyaesusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/Tokyoyaesusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"122","東名川崎","216-0005 神奈川県川崎市宮前区土橋 6-10-1","神奈川県","","3","250","31664","https://www.tesla.com/ja_JP/findus/location/supercharger/31664","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"123","厚木","243-0021 神奈川県厚木市岡田 3005","神奈川県","","8","250","tomeiatsugisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tomeiatsugisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"124","鶴ヶ島","350-2213 埼玉県鶴ヶ島市大字脚折 2131","埼玉県","","4","250","tsurugashimasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/tsurugashimasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"125","さいたま - 浦和美園","336-0967 埼玉県さいたま市緑区美園 5-45-19","埼玉県","","3","250","451365","https://www.tesla.com/ja_JP/findus/location/supercharger/451365","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"126","宇都宮","321-2116 栃木県宇都宮市徳次郎町 7-3","栃木県","","6","250","utsunomiyasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/utsunomiyasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"127","横浜 - 青葉","227-0044 神奈川県横浜市青葉区もえぎ野 1-2","神奈川県","","6","250","yokohamaaobasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/yokohamaaobasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"128","横浜 - 本牧","231-0821 神奈川県横浜市中区本牧原 7-1","神奈川県","","4","250","honmokusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/honmokusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"129","横浜 - 港北","223-0066 神奈川県横浜市港北区高田西 1-1-47","神奈川県","","6","250","yokohamakohokusupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/yokohamakohokusupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"130","横浜 - みなとみらい","220-0012 神奈川県横浜市西区みなとみらい 4-2","神奈川県","","6","250","yokohamaminatomiraisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/yokohamaminatomiraisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"131","横浜 - 町田","252-0318 神奈川県相模原市南区上鶴間本町 9-50","神奈川県","","6","250","59285","https://www.tesla.com/ja_JP/findus/location/supercharger/59285","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"132","横須賀","238-0013 神奈川県横須賀市平成町 3-21-4","神奈川県","","6","250","yokosukasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/yokosukasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","manual_match_reviewed"
"133","つくば","300-2655 茨城県つくば市島名 4372番地（諏訪C22街区 7画地)","茨城県","","4","250","ibarakitsukubasupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/ibarakitsukubasupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"134","佐野","372-0822 栃木県佐野市越名町 2041-7","栃木県","","4","130","sanosupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/sanosupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"135","川口","334-0003 埼玉県川口市坂下町 1-7","埼玉県","","4","250","saitamakawaguchisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/saitamakawaguchisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"136","川崎","212-0013 神奈川県川崎市幸区堀川町 72-1","神奈川県","","3","250","kanagawakawasakisupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kanagawakawasakisupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
"137","木更津","292-0009 千葉県木更津市金田東 1-16","千葉県","","6","150","kisarazujpsupercharger","https://www.tesla.com/ja_JP/findus/location/supercharger/kisarazujpsupercharger","https://supercharge.info/service/supercharge/allSites","2026-07-22","postal_code_match"
